候補,リターン,TOPIX,最大DD,シャープ,投資比率,取引数,勝率,PF,平均保有
base(現行),0.2115,0.5842,-0.1395,0.5383,0.8515,163,0.3865,1.2814,40.7791
金融G上限4,0.2077,0.5842,-0.1395,0.5321,0.8485,163,0.3865,1.2768,40.6380
金融G上限5,0.2115,0.5842,-0.1395,0.5383,0.8515,163,0.3865,1.2814,40.7791
金融G上限6,0.2115,0.5842,-0.1395,0.5383,0.8515,163,0.3865,1.2814,40.7791
新規1日1件,0.3504,0.5842,-0.1597,0.7717,0.8364,152,0.4276,1.5367,42.0855
新規1日2件,0.4617,0.5842,-0.1405,0.9532,0.8595,152,0.4342,1.7939,43.3684
新規1日3件,0.4473,0.5842,-0.1272,0.9457,0.8610,154,0.4351,1.7752,43.1299
