候補,リターン,TOPIX,最大DD,シャープ,投資比率,取引数,勝率,PF,平均保有
業種上限なし,0.5980,0.5030,-0.2261,1.5325,0.8774,129,0.4884,1.8794,43.1550
業種上限2(現行),0.5168,0.5030,-0.2123,1.4218,0.8906,128,0.4609,1.7677,42.8203
業種上限3,0.6633,0.5030,-0.2005,1.7038,0.8882,121,0.4959,2.0700,45.4793
