id,date,ticker,code,name,side,shares,price,amount,commission,realized_pnl,pnl_pct,holding_days,entry_price,exit_type,signal_date,reason
1,2026-09-07,8411.T,8411,みずほFG,BUY,13,8778.4,114119,0,,,,8778.4,,2026-09-04,"12ヶ月モメンタム +80.4%（候補内 1 位）、株価 8,774円 > 50日線 8,303円 > 200日線 6,963円 の上昇トレンド、20日高値圏（直近1ヶ月 +3.6%）、業種 銀行（同業種 1 銘柄目）。想定損切り 8,108円（3.0×ATR=666円 下）、資産の 1% をリスク上限として 13 株（評価 11.4%、1銘柄上限で決定）"
2,2026-09-07,8053.T,8053,住友商事,BUY,64,1834.9,117435,0,,,,1834.9,,2026-09-04,"12ヶ月モメンタム +74.2%（候補内 2 位）、株価 1,820円 > 50日線 1,666円 > 200日線 1,539円 の上昇トレンド、20日高値圏（直近1ヶ月 +5.8%）、業種 卸売（同業種 1 銘柄目）。想定損切り 1,665円（3.0×ATR=155円 下）、資産の 1% をリスク上限として 64 株（評価 11.6%、リスク許容で決定）"
3,2026-09-07,8316.T,8316,三井住友FG,BUY,16,7003.5,112056,0,,,,7003.5,,2026-09-04,"12ヶ月モメンタム +67.1%（候補内 3 位）、株価 7,083円 > 50日線 6,797円 > 200日線 5,760円 の上昇トレンド、20日高値圏（直近1ヶ月 +6.3%）、業種 銀行（同業種 2 銘柄目）。想定損切り 6,608円（3.0×ATR=475円 下）、資産の 1% をリスク上限として 16 株（評価 11.3%、1銘柄上限で決定）"
4,2026-09-07,7186.T,7186,コンコルディアFG,BUY,61,1962.5,119711,0,,,,1962.5,,2026-09-04,"12ヶ月モメンタム +66.6%（候補内 4 位）、株価 1,956円 > 50日線 1,875円 > 200日線 1,560円 の上昇トレンド、20日高値圏（直近1ヶ月 +5.5%）、業種 銀行（同業種 3 銘柄目）。想定損切り 1,813円（3.0×ATR=143円 下）、資産の 1% をリスク上限として 61 株（評価 11.9%、1銘柄上限で決定）"
5,2026-09-07,8309.T,8309,三井住友トラストG,BUY,66,1801.4,118892,0,,,,1801.4,,2026-09-04,"12ヶ月モメンタム +60.0%（候補内 5 位）、株価 1,801円 > 50日線 1,677円 > 200日線 1,378円 の上昇トレンド、20日高値圏（直近1ヶ月 +8.4%）、業種 銀行（同業種 4 銘柄目）。想定損切り 1,683円（3.0×ATR=118円 下）、資産の 1% をリスク上限として 66 株（評価 11.9%、1銘柄上限で決定）"
6,2026-09-07,6178.T,6178,日本郵政,BUY,47,2511.3,118029,0,,,,2511.3,,2026-09-04,"12ヶ月モメンタム +57.2%（候補内 7 位）、株価 2,512円 > 50日線 2,372円 > 200日線 1,970円 の上昇トレンド、20日高値圏（直近1ヶ月 +6.6%）、業種 サービス（同業種 1 銘柄目）。想定損切り 2,330円（3.0×ATR=182円 下）、資産の 1% をリスク上限として 47 株（評価 11.8%、1銘柄上限で決定）"
7,2026-09-07,8604.T,8604,野村HD,BUY,71,1670.3,118594,0,,,,1670.3,,2026-09-04,"12ヶ月モメンタム +52.5%（候補内 8 位）、株価 1,669円 > 50日線 1,550円 > 200日線 1,354円 の上昇トレンド、20日高値圏（直近1ヶ月 +7.1%）、業種 証券（同業種 1 銘柄目）。想定損切り 1,565円（3.0×ATR=104円 下）、資産の 1% をリスク上限として 71 株（評価 11.8%、1銘柄上限で決定）"
8,2026-09-07,8630.T,8630,SOMPO HD,BUY,17,6835.4,116202,0,,,,6835.4,,2026-09-04,"12ヶ月モメンタム +51.8%（候補内 9 位）、株価 6,856円 > 50日線 6,779円 > 200日線 5,927円 の上昇トレンド、20日高値圏（直近1ヶ月 -1.5%）、業種 保険（同業種 1 銘柄目）。想定損切り 6,430円（3.0×ATR=426円 下）、資産の 1% をリスク上限として 17 株（評価 11.7%、1銘柄上限で決定）"
9,2026-09-07,5020.T,5020,ENEOS HD,BUY,47,1360.7,63952,0,,,,1360.7,,2026-09-04,"12ヶ月モメンタム +51.0%（候補内 10 位）、株価 1,346円 > 50日線 1,289円 > 200日線 1,268円 の上昇トレンド、20日高値圏（直近1ヶ月 +4.9%）、業種 石油（同業種 1 銘柄目）。想定損切り 1,229円（3.0×ATR=117円 下）、資産の 1% をリスク上限として 48 株（評価 6.5%、現金残高で決定）"
