候補,リターン,TOPIX,最大DD,シャープ,投資比率,取引数,勝率,PF,平均保有
業種上限なし,0.2332,0.5842,-0.1395,0.5731,0.8437,164,0.3841,1.3287,40.3415
業種上限2(現行),0.1824,0.5842,-0.1694,0.4919,0.8455,167,0.3653,1.2422,39.4671
業種上限3,0.2383,0.5842,-0.1395,0.5933,0.8550,167,0.3832,1.3693,39.5629
