候補,リターン,TOPIX,最大DD,シャープ,投資比率,取引数,勝率,PF,平均保有
base(現行),0.6061,0.5030,-0.2188,1.5640,0.8846,129,0.4961,1.8979,43.0388
金融G上限4,0.7173,0.5030,-0.1938,1.8111,0.8784,126,0.5079,2.2991,44.1190
金融G上限5,0.6345,0.5030,-0.2138,1.6221,0.8880,127,0.5118,1.9947,43.7165
金融G上限6,0.6061,0.5030,-0.2188,1.5640,0.8846,129,0.4961,1.8979,43.0388
新規1日1件,0.2115,0.5030,-0.2210,0.6995,0.8575,134,0.4030,1.3155,37.9478
新規1日2件,0.4038,0.5030,-0.2217,1.1729,0.8914,129,0.4806,1.6506,41.5581
新規1日3件,0.4266,0.5030,-0.2149,1.2153,0.8997,129,0.4651,1.6543,41.7752
