候補,リターン,TOPIX,最大DD,シャープ,投資比率,取引数,勝率,PF,平均保有
業種上限なし,0.2271,0.2995,-0.2084,0.5484,0.8168,200,0.4050,1.2189,36.4700
業種上限2(現行),0.1032,0.2995,-0.2337,0.3147,0.8297,217,0.3779,1.0668,33.5991
業種上限3,0.0736,0.2995,-0.2585,0.2514,0.8139,213,0.3803,1.0268,34.4836
