候補,リターン,TOPIX,最大DD,シャープ,投資比率,取引数,勝率,PF,平均保有
base(現行),0.2434,0.2995,-0.2251,0.5769,0.8218,209,0.3923,1.2405,34.9091
金融G上限4,0.2434,0.2995,-0.2251,0.5769,0.8218,209,0.3923,1.2405,34.9091
金融G上限5,0.2434,0.2995,-0.2251,0.5769,0.8218,209,0.3923,1.2405,34.9091
金融G上限6,0.2434,0.2995,-0.2251,0.5769,0.8218,209,0.3923,1.2405,34.9091
新規1日1件,0.1725,0.2995,-0.2661,0.4525,0.7571,186,0.3925,1.1344,34.5108
新規1日2件,0.1493,0.2995,-0.2657,0.4095,0.7729,194,0.4227,1.1180,34.9072
新規1日3件,0.1950,0.2995,-0.2304,0.4936,0.7945,199,0.3920,1.1668,34.8442
